Cliente,Marca1,Marca2,Marca3,Marca_Inno1,Marca_Inno2
1,0.4401152,0.35769337,0.55531096,0.47185093,0.47185093
2,0.4401152,0.35769337,0.55531096,0.47185093,0.47185093
3,0.4401152,0.35769337,0.57993776,0.47185093,0.47185093
4,0.4401152,0.35769337,0.57993776,0.47185093,0.47185093
5,0.4401152,0.35769337,0.59516406,0.47185093,0.47185093
6,0.4401152,0.35769337,0.59516406,0.4620268,0.4620268
7,0.4401152,0.3686703,0.59516406,0.4620268,0.4620268
10,0.4401152,0.3686703,0.59516406,0.4620268,0.4620268
12,0.4401152,0.38793892,0.59516406,0.4620268,0.4620268
14,0.4401152,0.38793892,0.59516406,0.46568957,0.46568957
15,0.4401152,0.3779976,0.59516406,0.46362945,0.46362945
18,0.45019504,0.37969333,0.59516406,0.47185093,0.47185093
19,0.45019504,0.37969333,0.5602516,0.47185093,0.47185093
22,0.45019504,0.3755579,0.5602516,0.50846773,0.50846773
23,0.45019504,0.3755579,0.5602516,0.50846773,0.50846773
24,0.45019504,0.3912305,0.7071434,0.50846773,0.50846773
26,0.45019504,0.39721423,0.7071434,0.50702584,0.50702584
28,0.4448604,0.37464496,0.7071434,0.50702584,0.50702584
31,0.4448604,0.37464496,0.7071434,0.50702584,0.50702584
33,0.4448604,0.41136032,0.7071434,0.50702584,0.50702584
35,0.4448604,0.41136032,0.7071434,0.44816473,0.44816473
37,0.4448604,0.398407,0.7071434,0.44816473,0.44816473
38,0.4448604,0.398407,0.7071434,0.5098238,0.5098238
40,0.4448604,0.398407,0.7071434,0.48024833,0.48024833
42,0.4448604,0.398407,0.7071434,0.48024833,0.48024833
48,0.4448604,0.398407,0.7071434,0.51270694,0.51270694
54,0.4535803,0.398407,0.7071434,0.51270694,0.51270694
57,0.4535803,0.40641284,0.7071434,0.51270694,0.51270694
58,0.4535803,0.40181196,0.7071434,0.51270694,0.51270694
61,0.4476051,0.40181196,0.7071434,0.5070036,0.5070036
63,0.4476051,0.40181196,0.7071434,0.5070036,0.5070036
77,0.4476051,0.41136032,0.7071434,0.44816473,0.44816473
78,0.4476051,0.41136032,0.7071434,0.44816473,0.44816473
79,0.4476051,0.41136032,0.7071434,0.44816473,0.44816473
89,0.45424348,0.41136032,0.7071434,0.50466824,0.50466824
90,0.45424348,0.37992737,0.7071434,0.50466824,0.50466824
92,0.4424524,0.37992737,0.6273158,0.50466824,0.50466824
103,0.4424524,0.38460413,0.6273158,0.47508782,0.47508782
109,0.4424524,0.38460413,0.6273158,0.4520183,0.4520183
112,0.4424524,0.38460413,0.6273158,0.4520183,0.4520183
113,0.4424524,0.38460413,0.6273158,0.4520183,0.4520183
129,0.4424524,0.37616402,0.6273158,0.50779015,0.50779015
130,0.45975164,0.41018817,0.6273158,0.50779015,0.50779015
135,0.45927542,0.40045696,0.68861973,0.5116739,0.5116739
136,0.45975164,0.41018817,0.59503853,0.5116739,0.5116739
137,0.45975164,0.36715788,0.59503853,0.5116739,0.5116739
142,0.4352912,0.36715788,0.59503853,0.5116739,0.5116739
146,0.4352912,0.37546545,0.59503853,0.5116739,0.5116739
148,0.4352912,0.37546545,0.59503853,0.5116739,0.5116739
150,0.4352912,0.37546545,0.59503853,0.5116739,0.5116739
155,0.4352912,0.3707887,0.5531797,0.5116739,0.5116739
156,0.4352912,0.3707887,0.5531797,0.5116739,0.5116739
166,0.4352912,0.36264384,0.5531797,0.5116739,0.5116739
168,0.4352912,0.36264384,0.5531797,0.5116739,0.5116739
169,0.4352912,0.36264384,0.5531797,0.5116739,0.5116739
171,0.46042573,0.3954003,0.710136,0.5116739,0.5116739
173,0.46042573,0.3954003,0.710136,0.5116739,0.5116739
177,0.46042573,0.40269777,0.710136,0.5116739,0.5116739
183,0.46058854,0.40269777,0.710136,0.5116739,0.5116739
185,0.46058854,0.3954003,0.710136,0.5116739,0.5116739
186,0.43814218,0.3722909,0.60382533,0.5116739,0.5116739
187,0.43814218,0.3722909,0.60382533,0.5116739,0.5116739
198,0.43814218,0.3722909,0.619107,0.46141845,0.46141845
199,0.43814218,0.37505394,0.619107,0.46141845,0.46141845
202,0.43814218,0.37505394,0.619107,0.44135568,0.44135568
